599.999 eV    8.026E-02  5.615E-01   11.58 um     4.45 um     3.27 um  
649.999 eV    8.354E-02  5.587E-01   12.44 um     4.75 um     3.48 um  
699.999 eV    8.669E-02  5.556E-01   13.30 um     5.04 um     3.68 um  
799.999 eV    9.268E-02  5.486E-01   15.03 um     5.62 um     4.10 um  
899.999 eV    9.830E-02  5.410E-01   16.78 um     6.20 um     4.50 um  
999.999 eV    1.036E-01  5.330E-01   18.53 um     6.78 um     4.91 um  
   1.10 keV   1.087E-01  5.250E-01   20.31 um     7.36 um     5.31 um  
   1.20 keV   1.135E-01  5.169E-01   22.10 um     7.93 um     5.72 um  
   1.30 keV   1.181E-01  5.089E-01   23.91 um     8.50 um     6.12 um  
   1.40 keV   1.226E-01  5.011E-01   25.73 um     9.07 um     6.53 um  
   1.50 keV   1.269E-01  4.934E-01   27.57 um     9.64 um     6.93 um  
   1.60 keV   1.311E-01  4.858E-01   29.43 um    10.21 um     7.33 um  
   1.70 keV   1.351E-01  4.785E-01   31.30 um    10.78 um     7.74 um  
   1.80 keV   1.390E-01  4.714E-01   33.19 um    11.34 um     8.15 um  
   2.00 keV   1.465E-01  4.578E-01   37.00 um    12.47 um     8.96 um  
   2.25 keV   1.554E-01  4.418E-01   41.85 um    13.88 um     9.99 um  
   2.50 keV   1.638E-01  4.270E-01   46.78 um    15.27 um    11.02 um  
   2.75 keV   1.718E-01  4.133E-01   51.79 um    16.65 um    12.06 um  
   3.00 keV   1.795E-01  4.006E-01   56.86 um    18.02 um    13.11 um  
   3.25 keV   1.868E-01  3.887E-01   61.99 um    19.37 um    14.16 um  
   3.50 keV   1.938E-01  3.776E-01   67.18 um    20.71 um    15.22 um  
   3.75 keV   2.007E-01  3.673E-01   72.41 um    22.04 um    16.28 um  
   4.00 keV   2.072E-01  3.576E-01   77.70 um    23.36 um    17.35 um  
   4.50 keV   2.198E-01  3.399E-01   88.40 um    25.96 um    19.49 um  
   5.00 keV   2.317E-01  3.241E-01   99.24 um    28.50 um    21.65 um  
   5.50 keV   2.430E-01  3.100E-01  110.20 um    30.98 um    23.80 um  
   6.00 keV   2.538E-01  2.972E-01  121.24 um    33.40 um    25.96 um  
   6.50 keV   2.642E-01  2.856E-01  132.37 um    35.76 um    28.11 um  
