0.1481500	0.01	2.03E-010	1.22E-010
0.1974900	0.01	2.21E-009	4.41E-010
0.2168000	0.01	3.37E-009	6.73E-010
0.2470800	0.01	8.51E-009	1.70E-009
0.2581100	0.01	1.12E-008	2.24E-009
0.2787300	0.01	2.34E-008	4.67E-009
0.2980400	0.01	3.52E-008	7.03E-009
0.3077000	0.01	4.37E-008	8.74E-009
0.3159400	0.01	5.90E-008	1.18E-008
0.3283700	0.01	7.24E-008	1.45E-008
0.3380100	0.01	9.77E-008	1.96E-008
0.3462900	0.01	1.12E-007	2.24E-008
0.3573000	0.01	1.60E-007	3.19E-008
0.3683100	0.01	2.25E-007	4.49E-008
0.3779300	0.01	3.20E-007	6.41E-008
0.3875600	0.01	4.44E-007	8.88E-008
0.3958100	0.01	6.00E-007	1.20E-007
0.4082000	0.01	8.55E-007	1.71E-007
0.4178200	0.01	1.20E-006	2.41E-007
0.4287600	0.01	2.25E-006	4.50E-007
0.4383200	0.01	4.16E-006	8.32E-007
0.4465300	0.01	6.53E-006	1.30E-006
0.4561900	0.01	8.12E-006	1.62E-006
0.4687300	0.01	6.35E-006	1.27E-006
0.4715700	0.01	4.83E-006	9.67E-007
0.4799400	0.01	3.89E-006	7.77E-007
0.4883900	0.01	2.22E-006	4.44E-007
0.4982000	0.01	1.44E-006	2.87E-007
0.5233600	0.01	6.33E-007	1.27E-007
0.5484500	0.01	3.57E-007	7.14E-008
0.5720900	0.01	2.72E-007	5.43E-008
0.5985100	0.01	1.98E-007	3.97E-008
0.6235200	0.01	1.62E-007	3.23E-008
0.6485400	0.01	1.28E-007	2.56E-008
0.6736400	0.01	7.13E-008	2.85E-008
0.6999000	0.01	9.76E-008	1.95E-008
0.7235300	0.01	7.74E-008	1.55E-008
0.7499100	0.01	6.75E-008	1.35E-008
0.7734700	0.01	7.03E-008	1.41E-008
0.7971500	0.01	4.48E-008	8.97E-009
0.8498400	0.01	4.48E-008	8.96E-009
0.8970500	0.01	3.41E-008	6.82E-009
0.9484800	0.01	2.03E-008	1.02E-008
0.9982600	0.01	3.55E-008	7.10E-009
1.0482700	0.01	2.42E-008	4.85E-009
1.0981900	0.01	2.39E-008	4.78E-009
1.1481300	0.01	2.20E-008	4.40E-009
1.1980000	0.01	2.70E-008	5.40E-009
1.2506400	0.01	3.31E-008	6.62E-009
1.3490800	0.01	3.40E-008	6.80E-009
1.3989000	0.01	4.98E-008	9.96E-009
1.4473400	0.01	7.20E-008	1.44E-008
1.4985700	0.01	9.98E-008	2.00E-008
1.5234800	0.01	1.19E-007	2.38E-008
1.5484100	0.01	1.37E-007	2.73E-008
1.5719500	0.01	1.57E-007	3.13E-008
1.5995800	0.01	2.36E-007	4.71E-008
1.6230700	0.01	3.27E-007	6.54E-008
1.6465500	0.01	4.92E-007	9.84E-008
1.6603200	0.01	7.11E-007	1.42E-007
1.6728100	0.01	6.92E-007	1.38E-007
1.6782800	0.01	9.60E-007	1.92E-007
1.6865300	0.01	1.28E-006	2.56E-007
1.6961700	0.01	1.68E-006	3.36E-007
1.7086900	0.01	1.39E-006	2.77E-007
1.7240400	0.01	9.47E-007	1.89E-007
1.7282700	0.01	7.11E-007	1.42E-007
1.7380700	0.01	4.66E-007	9.31E-008
1.7478800	0.01	3.09E-007	6.19E-008
1.7717100	0.01	1.07E-007	2.13E-008
1.7955300	0.01	3.84E-008	7.67E-009
1.8484800	0.01	1.25E-008	7.52E-009
1.8969000	0.01	2.05E-008	1.02E-008
1.9468900	0.01	1.48E-008	7.38E-009
1.9967900	0.01	1.60E-008	8.00E-009
2.0480900	0.01	1.64E-008	8.22E-009
2.0950000	0.01	4.21E-008	8.43E-009
2.1961100	0.01	6.70E-008	1.34E-008
2.2946100	0.01	5.53E-008	1.11E-008
2.3930700	0.01	5.16E-008	1.03E-008
2.4941900	0.01	7.88E-008	1.57E-008
0.1484300	90	2.86E-010	1.72E-010
0.1999700	90	2.18E-009	4.37E-010
0.2211800	90	3.46E-009	6.92E-010
0.2482500	90	8.34E-009	1.67E-009
0.2595900	90	1.12E-008	2.25E-009
0.2768100	90	2.34E-008	4.67E-009
0.2993600	90	3.46E-008	6.92E-009
0.3092800	90	4.41E-008	8.83E-009
0.3178400	90	5.95E-008	1.19E-008
0.3291200	90	7.29E-008	1.46E-008
0.3404500	90	9.68E-008	1.94E-008
0.3504000	90	1.29E-007	2.57E-008
0.3603000	90	1.62E-007	3.24E-008
0.3688900	90	2.27E-007	4.55E-008
0.3803000	90	3.32E-007	6.64E-008
0.3902400	90	4.41E-007	8.83E-008
0.4001500	90	5.56E-007	1.11E-007
0.4101900	90	8.46E-007	1.69E-007
0.4201700	90	1.19E-006	2.37E-007
0.4289800	90	2.27E-006	4.55E-007
0.4377700	90	4.24E-006	8.49E-007
0.4492100	90	6.46E-006	1.29E-006
0.4521400	90	8.02E-006	1.60E-006
0.4646500	90	7.80E-006	1.56E-006
0.4686500	90	6.11E-006	1.22E-006
0.4754500	90	4.85E-006	9.71E-007
0.4794700	90	3.85E-006	7.71E-007
0.4902500	90	2.33E-006	4.67E-007
0.4996900	90	1.53E-006	3.06E-007
0.5255000	90	6.17E-007	1.23E-007
0.5502800	90	4.16E-007	8.32E-008
0.5763800	90	2.55E-007	5.11E-008
0.6012700	90	2.03E-007	4.05E-008
0.6275200	90	1.52E-007	3.05E-008
0.6524400	90	1.26E-007	2.52E-008
0.6771000	90	7.12E-008	1.42E-008
0.7022900	90	8.72E-008	1.74E-008
0.7243400	90	6.29E-008	1.26E-008
