    1.1 eV    1.425E-02  9.652E-02    4539 A      1782 A       902 A   
    1.2 eV    1.425E-02  1.017E-01    4708 A      1853 A      1027 A   
    1.3 eV    1.484E-02  1.068E-01    4869 A      1924 A      1134 A   
    1.4 eV    1.540E-02  1.116E-01    5022 A      1995 A      1229 A   
    1.5 eV    1.594E-02  1.163E-01    5169 A      2066 A      1314 A   
    1.6 eV    1.646E-02  1.208E-01    5310 A      2135 A      1392 A   
    1.7 eV    1.697E-02  1.252E-01    5446 A      2202 A      1464 A   
    1.8 eV    1.746E-02  1.295E-01    5578 A      2269 A      1531 A   
      2 eV    1.840E-02  1.378E-01    5828 A      2397 A      1654 A   
   2.25 eV    1.952E-02  1.476E-01    6122 A      2548 A      1791 A   
2.49999 eV    2.057E-02  1.569E-01    6398 A      2692 A      1914 A   
2.74999 eV    2.158E-02  1.657E-01    6659 A      2829 A      2027 A   
2.99999 eV    2.254E-02  1.741E-01    6907 A      2958 A      2131 A   
3.24999 eV    2.346E-02  1.822E-01    7143 A      3082 A      2228 A   
3.49999 eV    2.434E-02  1.900E-01    7370 A      3201 A      2320 A   
3.74999 eV    2.520E-02  1.975E-01    7588 A      3314 A      2407 A   
3.99999 eV    2.602E-02  2.047E-01    7798 A      3424 A      2489 A   
4.49999 eV    2.760E-02  2.185E-01    8199 A      3630 A      2644 A   
4.99999 eV    2.910E-02  2.315E-01    8576 A      3824 A      2787 A   
5.49999 eV    3.052E-02  2.439E-01    8934 A      4007 A      2921 A   
5.99999 eV    3.187E-02  2.556E-01    9275 A      4180 A      3046 A   
6.49999 eV    3.317E-02  2.668E-01    9602 A      4345 A      3165 A   
6.99999 eV    3.443E-02  2.776E-01    9916 A      4502 A      3279 A   
7.99999 eV    3.680E-02  2.978E-01    1.05 um     4798 A      3491 A   
8.99999 eV    3.904E-02  3.166E-01    1.11 um     5073 A      3688 A   
9.99999 eV    4.115E-02  3.343E-01    1.16 um     5330 A      3871 A   
10.9999 eV    4.316E-02  3.509E-01    1.21 um     5573 A      4045 A   
11.9999 eV    4.507E-02  3.667E-01    1.26 um     5804 A      4209 A   
12.9999 eV    4.691E-02  3.817E-01    1.31 um     6024 A      4366 A   
13.9999 eV    4.869E-02  3.959E-01    1.35 um     6235 A      4516 A   
14.9999 eV    5.039E-02  4.096E-01    1.39 um     6437 A      4660 A   
15.9999 eV    5.205E-02  4.227E-01    1.44 um     6632 A      4799 A   
16.9999 eV    5.365E-02  4.353E-01    1.48 um     6820 A      4933 A   
