   1.30 keV   2.901E-02  6.015E-02      56 A        67 A        50 A   
   1.40 keV   3.010E-02  6.042E-02      59 A        71 A        53 A   
   1.50 keV   3.116E-02  6.063E-02      63 A        75 A        56 A   
   1.60 keV   3.218E-02  6.078E-02      67 A        78 A        59 A   
   1.70 keV   3.317E-02  6.089E-02      71 A        82 A        62 A   
   1.80 keV   3.413E-02  6.096E-02      74 A        86 A        64 A   
   2.00 keV   3.598E-02  6.101E-02      82 A        93 A        70 A   
   2.25 keV   3.816E-02  6.093E-02      91 A       102 A        77 A   
   2.50 keV   4.022E-02  6.073E-02     101 A       111 A        83 A   
   2.75 keV   4.219E-02  6.046E-02     110 A       119 A        90 A   
   3.00 keV   4.406E-02  6.012E-02     120 A       128 A        96 A   
   3.25 keV   4.586E-02  5.974E-02     129 A       136 A       102 A   
   3.50 keV   4.759E-02  5.932E-02     139 A       145 A       109 A   
   3.75 keV   4.926E-02  5.888E-02     148 A       153 A       115 A   
   4.00 keV   5.088E-02  5.843E-02     158 A       162 A       121 A   
   4.50 keV   5.397E-02  5.749E-02     178 A       177 A       133 A   
   5.00 keV   5.689E-02  5.653E-02     198 A       193 A       146 A   
   5.50 keV   5.966E-02  5.557E-02     218 A       209 A       158 A   
   6.00 keV   6.231E-02  5.462E-02     238 A       224 A       170 A   
   6.50 keV   6.486E-02  5.369E-02     258 A       239 A       181 A   
   7.00 keV   6.731E-02  5.279E-02     279 A       254 A       193 A   
   8.00 keV   7.195E-02  5.105E-02     321 A       283 A       216 A   
   9.00 keV   7.632E-02  4.942E-02     363 A       311 A       239 A   
  10.00 keV   8.045E-02  4.789E-02     405 A       338 A       262 A   
  11.00 keV   8.437E-02  4.646E-02     448 A       365 A       283 A   
  12.00 keV   8.813E-02  4.512E-02     491 A       391 A       305 A   
  13.00 keV   9.172E-02  4.387E-02     535 A       417 A       326 A   
  14.00 keV   9.519E-02  4.269E-02     579 A       441 A       347 A   
  15.00 keV   9.853E-02  4.158E-02     623 A       466 A       368 A   
  16.00 keV   1.018E-01  4.054E-02     667 A       489 A       388 A   
  17.00 keV   1.051E-01  3.956E-02     711 A       512 A       408 A   
  18.00 keV   1.083E-01  3.863E-02     755 A       535 A       428 A   
  20.00 keV   1.145E-01  3.693E-02     844 A       578 A       466 A   
  22.50 keV   1.218E-01  3.503E-02     954 A       629 A       513 A   
  25.00 keV   1.290E-01  3.334E-02    1065 A       677 A       557 A   
  27.50 keV   1.364E-01  3.184E-02    1175 A       723 A       600 A   
  30.00 keV   1.438E-01  3.049E-02    1283 A       766 A       641 A   
  32.50 keV   1.511E-01  2.927E-02    1390 A       806 A       680 A   
  35.00 keV   1.582E-01  2.815E-02    1496 A       844 A       718 A   
  37.50 keV   1.651E-01  2.714E-02    1601 A       881 A       754 A   
  40.00 keV   1.719E-01  2.620E-02    1704 A       915 A       789 A   
  45.00 keV   1.849E-01  2.454E-02    1907 A       978 A       855 A   
  50.00 keV   1.974E-01  2.311E-02    2105 A      1035 A       916 A   
  55.00 keV   2.094E-01  2.186E-02    2298 A      1087 A       973 A   
  60.00 keV   2.211E-01  2.076E-02    2486 A      1135 A      1026 A   
  65.00 keV   2.324E-01  1.978E-02    2670 A      1178 A      1075 A   
  70.00 keV   2.434E-01  1.890E-02    2849 A      1219 A      1122 A   
  80.00 keV   2.646E-01  1.739E-02    3196 A      1290 A      1208 A   
  90.00 keV   2.847E-01  1.613E-02    3528 A      1353 A      1285 A   
 100.00 keV   3.039E-01  1.506E-02    3847 A      1407 A      1355 A   
 110.00 keV   3.223E-01  1.414E-02    4154 A      1455 A      1418 A   
 120.00 keV   3.400E-01  1.334E-02    4449 A      1498 A      1476 A   
 130.00 keV   3.569E-01  1.264E-02    4735 A      1537 A      1530 A   
 140.00 keV   3.730E-01  1.202E-02    5012 A      1572 A      1580 A   
 150.00 keV   3.885E-01  1.146E-02    5280 A      1604 A      1626 A   
 160.00 keV   4.034E-01  1.096E-02    5541 A      1633 A      1669 A   
 170.00 keV   4.176E-01  1.050E-02    5795 A      1660 A      1709 A   
 180.00 keV   4.311E-01  1.009E-02    6043 A      1684 A      1747 A   
 200.00 keV   4.566E-01  9.360E-03    6523 A      1729 A      1817 A   
 225.00 keV   4.854E-01  8.601E-03    7096 A      1778 A      1895 A   
 250.00 keV   5.113E-01  7.967E-03    7644 A      1820 A      1964 A   
 275.00 keV   5.347E-01  7.430E-03    8172 A      1856 A      2027 A   
 300.00 keV   5.561E-01  6.967E-03    8682 A      1889 A      2084 A   
 325.00 keV   5.757E-01  6.564E-03    9177 A      1918 A      2136 A   
 350.00 keV   5.939E-01  6.210E-03    9659 A      1945 A      2185 A   
 375.00 keV   6.108E-01  5.896E-03    1.01 um     1969 A      2230 A   
 400.00 keV   6.267E-01  5.615E-03    1.06 um     1992 A      2273 A   
 450.00 keV   6.558E-01  5.133E-03    1.15 um     2033 A      2350 A   
 500.00 keV   6.819E-01  4.734E-03    1.23 um     2070 A      2420 A   
 550.00 keV   7.053E-01  4.398E-03    1.32 um     2102 A      2483 A   
 600.00 keV   7.265E-01  4.111E-03    1.40 um     2131 A      2542 A   
 650.00 keV   7.455E-01  3.862E-03    1.48 um     2157 A      2595 A   
 700.00 keV   7.626E-01  3.643E-03    1.56 um     2181 A      2645 A   
 800.00 keV   7.917E-01  3.279E-03    1.71 um     2229 A      2737 A   
 900.00 keV   8.147E-01  2.986E-03    1.85 um     2271 A      2819 A   
   1.00 MeV   8.327E-01  2.745E-03    2.00 um     2309 A      2894 A   
   1.10 MeV   8.463E-01  2.543E-03    2.14 um     2344 A      2963 A   
   1.20 MeV   8.563E-01  2.370E-03    2.28 um     2376 A      3028 A   
   1.30 MeV   8.633E-01  2.222E-03    2.41 um     2407 A      3090 A   
   1.40 MeV   8.678E-01  2.092E-03    2.55 um     2435 A      3148 A   
   1.50 MeV   8.701E-01  1.977E-03    2.69 um     2463 A      3204 A   
   1.60 MeV   8.706E-01  1.876E-03    2.82 um     2489 A      3258 A   
   1.70 MeV   8.696E-01  1.785E-03    2.96 um     2515 A      3311 A   
   1.80 MeV   8.674E-01  1.703E-03    3.10 um     2540 A      3362 A   
   2.00 MeV   8.600E-01  1.562E-03    3.37 um     2603 A      3461 A   
   2.25 MeV   8.470E-01  1.417E-03    3.72 um     2688 A      3580 A   
   2.50 MeV   8.312E-01  1.298E-03    4.08 um     2772 A      3696 A   
   2.75 MeV   8.139E-01  1.199E-03    4.44 um     2855 A      3810 A   
   3.00 MeV   7.959E-01  1.115E-03    4.81 um     2938 A      3923 A   
   3.25 MeV   7.776E-01  1.042E-03    5.20 um     3021 A      4035 A   
   3.50 MeV   7.595E-01  9.794E-04    5.58 um     3105 A      4148 A   
   3.75 MeV   7.416E-01  9.241E-04    5.98 um     3190 A      4262 A   
   4.00 MeV   7.242E-01  8.751E-04    6.39 um     3276 A      4377 A   
   4.50 MeV   6.910E-01  7.921E-04    7.24 um     3554 A      4611 A   
   5.00 MeV   6.602E-01  7.244E-04    8.13 um     3835 A      4853 A   
   5.50 MeV   6.318E-01  6.680E-04    9.06 um     4119 A      5102 A   
   6.00 MeV   6.056E-01  6.202E-04   10.03 um     4408 A      5360 A   
   6.50 MeV   5.816E-01  5.792E-04   11.04 um     4701 A      5627 A   
