(7.32129e-10,1.67795e-05)
(0.00025344,7.49662e-08)
(1.58613e-09,2.16902e-05)
(0.000257354,1.24911e-07)
(3.3563e-09,2.78162e-05)
(0.000261728,2.04773e-07)
(6.19264e-09,3.40824e-05)
(0.000265816,3.06493e-07)
(1.09577e-08,4.11803e-05)
(0.000270119,4.46002e-07)
(1.81203e-08,4.86473e-05)
(0.000274377,6.20402e-07)
(2.91099e-08,5.69137e-05)
(0.000278854,8.46261e-07)
(3.03305e-08,5.76931e-05)
(0.000279266,8.69313e-07)
(3.7557e-08,6.19203e-05)
(0.000281475,9.99666e-07)
(4.49652e-08,6.57213e-05)
(0.000283425,1.12442e-06)
(4.66946e-08,6.6546e-05)
(0.000283845,1.15246e-06)
(5.48175e-08,7.01683e-05)
(0.000285668,1.27956e-06)
(5.68437e-08,7.10149e-05)
(0.00028609,1.3102e-06)
(6.32858e-08,7.35805e-05)
(0.000287363,1.40518e-06)
(6.78938e-08,7.5309e-05)
(0.000288216,1.471e-06)
(6.94886e-08,7.58894e-05)
(0.0002885,1.49342e-06)
(7.61648e-08,7.82238e-05)
(0.000289643,1.58531e-06)
(8.15021e-08,7.9995e-05)
(0.000290501,1.65677e-06)
(8.33442e-08,8.05872e-05)
(0.000290788,1.68102e-06)
(9.51142e-08,8.4185e-05)
(0.000292515,1.83186e-06)
(1.17597e-07,9.02899e-05)
(0.000295419,2.10244e-06)
(1.35686e-07,9.46548e-05)
(0.000297459,2.30688e-06)
(1.41237e-07,9.59156e-05)
(0.000298048,2.36762e-06)
(1.62079e-07,0.000100371)
(0.00030012,2.58838e-06)
(1.65241e-07,0.000101012)
(0.000300417,2.62094e-06)
(1.90534e-07,0.000105869)
(0.000302644,2.87386e-06)
(1.94119e-07,0.00010652)
(0.000302945,2.90867e-06)
(2.26782e-07,0.000112122)
(0.000305488,3.21599e-06)
(2.61269e-07,0.000117474)
(0.000307898,3.52342e-06)
(2.9967e-07,0.000122899)
(0.000310325,3.84873e-06)
(3.4509e-07,0.000128743)
(0.000312916,4.21439e-06)
(3.95593e-07,0.000134657)
(0.000315529,4.60061e-06)
(4.4811e-07,0.000140291)
(0.00031799,4.98339e-06)
(5.0577e-07,0.000145985)
(0.000320469,5.38491e-06)
(5.44567e-07,0.000149576)
(0.000322024,5.64557e-06)
(5.72162e-07,0.000152018)
(0.000323085,5.8265e-06)
(5.85542e-07,0.00015318)
(0.000323583,5.91325e-06)
(6.08607e-07,0.000155133)
(0.000324428,6.06079e-06)
(6.28782e-07,0.0001568)
(0.000325148,6.1881e-06)
(6.54014e-07,0.000158834)
(0.000326025,6.34516e-06)
(6.77241e-07,0.00016067)
(0.00032681,6.48806e-06)
(7.02025e-07,0.00016258)
(0.000327626,6.63842e-06)
(7.26455e-07,0.000164412)
(0.000328412,6.78448e-06)
(7.5254e-07,0.000166324)
(0.000329232,6.93843e-06)
(7.79313e-07,0.000168241)
(0.000330052,7.09434e-06)
(8.04683e-07,0.00017002)
(0.000330808,7.24037e-06)
(8.3393e-07,0.000172021)
(0.000331662,7.40644e-06)
(8.91321e-07,0.000175814)
(0.000333276,7.72598e-06)
(9.52799e-07,0.000179697)
(0.000334926,8.05965e-06)
(1.01486e-06,0.000183452)
(0.000336517,8.38834e-06)
(1.07983e-06,0.000187219)
(0.000338106,8.72427e-06)
(1.14786e-06,0.000191006)
(0.0003397,9.06791e-06)
(1.2189e-06,0.000194792)
(0.000341299,9.41804e-06)
(1.30076e-06,0.000198978)
(0.000343056,9.81205e-06)
(1.38658e-06,0.000203179)
(0.00034482,1.02149e-05)
(1.4681e-06,0.000207008)
(0.000346424,1.05886e-05)
(1.5531e-06,0.000210853)
(0.00034803,1.09699e-05)
(1.64157e-06,0.000214704)
(0.000349639,1.1358e-05)
(1.73364e-06,0.000218563)
(0.000351249,1.17532e-05)
(1.82939e-06,0.000222433)
(0.00035286,1.21555e-05)
(1.9289e-06,0.000226312)
(0.000354473,1.25649e-05)
(2.03222e-06,0.000230197)
(0.000356089,1.29811e-05)
(2.1504e-06,0.000234479)
(0.000357866,1.3447e-05)
(2.27345e-06,0.000238773)
(0.000359643,1.39215e-05)
(2.38957e-06,0.000242682)
(0.000361259,1.43598e-05)
(2.5098e-06,0.000246591)
(0.000362883,1.48044e-05)
(2.6343e-06,0.000250509)
(0.000364494,1.52561e-05)
(2.76311e-06,0.000254432)
(0.000366116,1.57143e-05)
(2.89637e-06,0.000258366)
(0.000367733,1.61795e-05)
(3.03394e-06,0.000262291)
(0.000369354,1.66502e-05)
(3.17615e-06,0.000266228)
(0.000370973,1.7128e-05)
(3.50524e-06,0.000274896)
(0.00037454,1.82008e-05)
(3.82447e-06,0.000282791)
(0.000377777,1.92026e-05)
(4.16314e-06,0.000290682)
(0.000381012,2.02275e-05)
(4.52206e-06,0.000298584)
(0.000384247,2.12765e-05)
(4.94074e-06,0.000307274)
(0.000387803,2.24564e-05)
(5.32298e-06,0.000314778)
(0.000390868,2.34971e-05)
(5.76824e-06,0.000323066)
(0.000394251,2.46696e-05)
(6.21502e-06,0.000330951)
(0.000397463,2.58075e-05)
(6.68444e-06,0.000338825)
(0.000400677,2.6965e-05)
